 ****** PrimeSim HSPICE -- R-2020.12-SP2 linux64 (May 24 2021 7074677) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
4
#Number of plot points
100
#Number of Measures
2
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
pwr,tp,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
2.016638e-05,3.981865e-11,-2.575829,-4.421625,-1.687237
2.017659e-05,3.992909e-11,-2.17009,-3.066998,-1.53326
2.019069e-05,4.005537e-11,-1.959964,-2.63727,-1.419425
2.020967e-05,4.02658e-11,-1.811911,-2.385831,-1.326787
2.021022e-05,4.045213e-11,-1.695398,-2.207206,-1.247538
2.02117e-05,4.057584e-11,-1.598193,-2.067749,-1.177617
2.021735e-05,4.060257e-11,-1.514102,-1.952672,-1.114608
2.022236e-05,4.064134e-11,-1.439531,-1.854204,-1.056949
2.025922e-05,4.066875e-11,-1.372204,-1.767773,-1.003563
2.026687e-05,4.069733e-11,-1.310579,-1.690461,-0.9536756
2.026728e-05,4.076232e-11,-1.253565,-1.620293,-0.906707
2.027312e-05,4.076632e-11,-1.200359,-1.555873,-0.862212
2.027838e-05,4.076885e-11,-1.150349,-1.496174,-0.8198403
2.027967e-05,4.078994e-11,-1.103063,-1.440422,-0.7793106
2.028482e-05,4.081705e-11,-1.058122,-1.388017,-0.7403934
2.029422e-05,4.085593e-11,-1.015222,-1.338483,-0.7028985
2.029566e-05,4.089837e-11,-0.9741139,-1.291439,-0.6666664
2.029592e-05,4.091795e-11,-0.9345893,-1.246573,-0.6315617
2.030208e-05,4.094245e-11,-0.8964734,-1.203627,-0.5974685
2.030271e-05,4.106884e-11,-0.8596174,-1.162385,-0.5642865
2.03065e-05,4.107279e-11,-0.8238936,-1.122663,-0.5319284
2.030654e-05,4.111285e-11,-0.7891917,-1.084305,-0.5003172
2.030767e-05,4.111864e-11,-0.755415,-1.047176,-0.4693852
2.031182e-05,4.112371e-11,-0.7224791,-1.011159,-0.4390719
2.031502e-05,4.113967e-11,-0.6903088,-0.976152,-0.409323
2.03167e-05,4.117756e-11,-0.6588377,-0.9420646,-0.38009
2.031718e-05,4.119535e-11,-0.628006,-0.9088169,-0.3513285
2.031965e-05,4.119885e-11,-0.5977601,-0.8763377,-0.3229984
2.032024e-05,4.120111e-11,-0.5680515,-0.8445633,-0.2950631
2.032441e-05,4.122146e-11,-0.538836,-0.8134364,-0.2674886
2.033096e-05,4.123921e-11,-0.5100735,-0.7829051,-0.2402438
2.033305e-05,4.12533e-11,-0.4817268,-0.7529222,-0.2132998
2.033438e-05,4.125492e-11,-0.4537622,-0.7234447,-0.1866296
2.033463e-05,4.126682e-11,-0.426148,-0.6944332,-0.160208
2.033668e-05,4.127828e-11,-0.3988551,-0.6658514,-0.1340113
2.033994e-05,4.130581e-11,-0.3718561,-0.6376659,-0.1080172
2.034738e-05,4.132404e-11,-0.3451255,-0.6098454,-0.08220445
2.034805e-05,4.133553e-11,-0.3186394,-0.5823611,-0.05655286
2.035432e-05,4.135456e-11,-0.2923749,-0.555186,-0.03104317
2.036439e-05,4.138723e-11,-0.2663106,-0.5282946,-0.005656825
2.038646e-05,4.142399e-11,-0.240426,-0.501663,0.01962401
2.039773e-05,4.143894e-11,-0.2147016,-0.4752687,0.04481663
2.041796e-05,4.145516e-11,-0.1891184,-0.4490902,0.0699379
2.041802e-05,4.1473e-11,-0.1636585,-0.423107,0.09500422
2.042165e-05,4.149183e-11,-0.1383042,-0.3972997,0.1200318
2.042196e-05,4.150044e-11,-0.1130385,-0.3716494,0.1450364
2.042498e-05,4.150414e-11,-0.08784484,-0.3461382,0.1700339
2.042824e-05,4.151541e-11,-0.06270678,-0.3207484,0.1950399
2.043925e-05,4.152721e-11,-0.03760829,-0.2954632,0.2200701
2.044361e-05,4.152774e-11,-0.01253347,-0.2702659,0.2451402
2.045034e-05,4.154614e-11,0.01253347,-0.2451402,0.2702659
2.045396e-05,4.158887e-11,0.03760829,-0.2200701,0.2954632
2.045465e-05,4.158955e-11,0.06270678,-0.1950399,0.3207484
2.046177e-05,4.159756e-11,0.08784484,-0.1700339,0.3461382
2.046183e-05,4.159971e-11,0.1130385,-0.1450364,0.3716494
2.04727e-05,4.165012e-11,0.1383042,-0.1200318,0.3972997
2.048554e-05,4.167972e-11,0.1636585,-0.09500422,0.423107
2.049249e-05,4.169305e-11,0.1891184,-0.0699379,0.4490902
2.050781e-05,4.170945e-11,0.2147016,-0.04481663,0.4752687
2.051224e-05,4.175575e-11,0.240426,-0.01962401,0.501663
2.051838e-05,4.177137e-11,0.2663106,0.005656825,0.5282946
2.051884e-05,4.18037e-11,0.2923749,0.03104317,0.555186
2.052671e-05,4.181679e-11,0.3186394,0.05655286,0.5823611
2.052858e-05,4.18282e-11,0.3451255,0.08220445,0.6098454
2.053141e-05,4.18522e-11,0.3718561,0.1080172,0.6376659
2.053541e-05,4.188707e-11,0.3988551,0.1340113,0.6658514
2.054478e-05,4.191946e-11,0.426148,0.160208,0.6944332
2.054628e-05,4.194996e-11,0.4537622,0.1866296,0.7234447
2.054678e-05,4.200565e-11,0.4817268,0.2132998,0.7529222
2.054688e-05,4.201474e-11,0.5100735,0.2402438,0.7829051
2.056247e-05,4.204271e-11,0.538836,0.2674886,0.8134364
2.056779e-05,4.20585e-11,0.5680515,0.2950631,0.8445633
2.0569e-05,4.205988e-11,0.5977601,0.3229984,0.8763377
2.057139e-05,4.207481e-11,0.628006,0.3513285,0.9088169
2.057306e-05,4.207851e-11,0.6588377,0.38009,0.9420646
2.057516e-05,4.211123e-11,0.6903088,0.409323,0.976152
2.057826e-05,4.213016e-11,0.7224791,0.4390719,1.011159
2.057969e-05,4.214816e-11,0.755415,0.4693852,1.047176
2.059169e-05,4.215593e-11,0.7891917,0.5003172,1.084305
2.06037e-05,4.220317e-11,0.8238936,0.5319284,1.122663
2.061283e-05,4.226414e-11,0.8596174,0.5642865,1.162385
2.061689e-05,4.233918e-11,0.8964734,0.5974685,1.203627
2.062518e-05,4.234515e-11,0.9345893,0.6315617,1.246573
2.063129e-05,4.236924e-11,0.9741139,0.6666664,1.291439
2.068025e-05,4.247913e-11,1.015222,0.7028985,1.338483
2.068084e-05,4.299438e-11,1.058122,0.7403934,1.388017
2.069429e-05,4.320433e-11,1.103063,0.7793106,1.440422
2.069602e-05,4.350622e-11,1.150349,0.8198403,1.496174
2.071934e-05,4.3986e-11,1.200359,0.862212,1.555873
2.072296e-05,4.402533e-11,1.253565,0.906707,1.620293
2.07355e-05,4.439897e-11,1.310579,0.9536756,1.690461
2.077372e-05,4.440133e-11,1.372204,1.003563,1.767773
2.079823e-05,4.454042e-11,1.439531,1.056949,1.854204
2.080114e-05,4.514913e-11,1.514102,1.114608,1.952672
2.080173e-05,4.518976e-11,1.598193,1.177617,2.067749
2.08238e-05,4.524399e-11,1.695398,1.247538,2.207206
2.08339e-05,4.527596e-11,1.811911,1.326787,2.385831
2.087048e-05,4.534605e-11,1.959964,1.419425,2.63727
2.0977e-05,4.54684e-11,2.17009,1.53326,3.066998
2.107946e-05,4.554337e-11,2.575829,1.687237,4.421625
